City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
260,tadine,-21.55,167.8833,77.72,76,37,8.95,NC,1683407346
261,tolanaro,-25.0319,46.9987,69.82,92,81,12.97,MG,1683407244
262,lijiang,26.8688,100.2207,46.0,74,0,5.41,CN,1683407346
263,tarawa,1.419,172.984,84.29,79,75,5.75,KI,1683407346
264,maintirano,-18.0667,44.0167,76.19,76,0,8.79,MG,1683407347
265,north platte,41.1239,-100.7654,75.11,46,0,4.61,US,1683407072
266,alaghsas,17.0187,8.0168,88.7,10,2,14.27,NE,1683407337
267,kruisfontein,-34.0033,24.7314,56.88,91,29,6.51,ZA,1683407347
268,rio gallegos,-51.6226,-69.2181,50.05,43,20,16.11,AR,1683407347
269,port mathurin,-19.6833,63.4167,78.73,71,50,19.06,MU,1683407348
270,conception bay south,47.4999,-52.9981,39.92,88,100,9.66,CA,1683407348
271,kosh-agach,50.0,88.6667,33.39,50,100,3.24,RU,1683407348
272,sarmiento,-45.5882,-69.07,60.76,50,29,11.61,AR,1683407348
273,jiazi,22.8779,116.067,78.44,93,100,8.86,CN,1683407349
274,linhares,-19.3911,-40.0722,72.46,83,7,5.3,BR,1683407349
275,mount gambier,-37.8333,140.7667,42.98,84,96,6.96,AU,1683407332
276,kristiansund,63.1115,7.732,48.25,56,49,3.44,NO,1683407349
277,hamilton,39.1834,-84.5333,77.58,51,100,10.36,US,1683407061
278,edson,53.5835,-116.4356,60.73,39,60,17.36,CA,1683407350
279,al qusiyah,27.4402,30.8184,72.77,35,0,8.43,EG,1683407350
280,itaituba,-4.2761,-55.9836,78.67,96,33,2.59,BR,1683407350
281,zahedan,29.4963,60.8629,64.31,25,0,4.61,IR,1683407350
282,milton,34.1322,-84.3007,76.01,65,92,1.01,US,1683407350
283,ksar chellala,35.2122,2.3189,62.96,60,100,13.35,DZ,1683407351
284,keflavik,64.0049,-22.5624,48.63,87,75,3.44,IS,1683407351
285,gurupi,-11.7292,-49.0686,79.68,65,100,5.26,BR,1683407335
286,shalqar,47.8333,59.6,60.76,23,100,4.97,KZ,1683407352
287,coahuayana de hidalgo,18.7,-103.6583,92.57,43,0,8.12,MX,1683407352
288,gadzhiyevo,69.2551,33.3362,23.9,95,31,4.9,RU,1683407352
289,asadabad,34.7824,48.1185,51.75,31,3,2.64,IR,1683407352
290,akdepe,42.0551,59.3788,59.23,62,78,7.74,TM,1683407352
291,yima,34.7381,111.8839,51.57,79,100,3.62,CN,1683407122
292,malpe,13.35,74.7167,83.5,74,60,5.77,IN,1683407353
293,bayganin,48.6947,55.8742,57.79,30,100,3.29,KZ,1683407353
294,praia da vitoria,38.7333,-27.0667,65.75,95,99,22.39,PT,1683407353
295,susuman,62.7833,148.1667,24.08,79,27,1.81,RU,1683407354
296,palu,-0.8917,119.8707,77.13,94,100,2.37,ID,1683407354
297,emerald,-23.5333,148.1667,64.4,87,100,3.04,AU,1683407354
298,yamada,39.4667,141.95,47.08,96,100,11.18,JP,1683407355
299,kelibia,36.8476,11.0939,64.18,76,33,11.97,TN,1683407355
300,kalmunai,7.4167,81.8167,78.64,84,100,3.6,LK,1683407355
301,saint-pierre,-21.3393,55.4781,75.56,83,100,5.75,RE,1683407355
302,cascais,38.6979,-9.4215,65.05,82,79,13.0,PT,1683407355
303,chiang mai,18.75,99.0,82.47,69,0,3.44,TH,1683407356
304,naracoorte,-36.9579,140.7383,42.82,80,59,3.89,AU,1683407356
305,rockford,42.2711,-89.094,77.25,53,75,16.11,US,1683407237
306,charikar,35.0136,69.1714,54.75,47,2,6.6,AF,1683407356
307,benguela,-12.5763,13.4055,77.9,85,28,4.36,AO,1683407356
308,inirida,3.8653,-67.9239,88.16,63,87,2.71,CO,1683407357
309,westport,41.1415,-73.3579,74.28,33,0,13.8,US,1683407349
310,"laikit, laikit ii (dimembe)",1.4792,124.9735,72.45,100,40,2.3,ID,1683407357
311,bamboo flat,11.7,92.7167,83.43,78,63,7.54,IN,1683407357
312,graham,47.0529,-122.2943,59.88,83,100,1.01,US,1683407357
313,north bend,43.4065,-124.2243,60.24,83,100,16.11,US,1683407358
314,saint-francois,46.4154,3.9054,62.04,77,0,4.61,FR,1683407358
315,dudinka,69.4058,86.1778,-6.29,100,100,0.83,RU,1683407358
316,filakovo,48.2676,19.8247,55.4,90,100,3.13,SK,1683407358
317,ratlam,23.3167,75.0667,85.1,39,100,10.49,IN,1683407359
318,diebougou,10.9667,-3.25,91.36,33,83,6.42,BF,1683407359
319,villeneuve-sur-yonne,48.0825,3.2969,59.16,86,100,6.64,FR,1683407359
320,miracema do tocantins,-9.5618,-48.3967,81.63,71,79,1.19,BR,1683407359
321,shanga,11.2106,4.5788,88.38,38,74,4.52,NG,1683407359
322,hami,42.8,93.45,45.95,56,5,9.71,CN,1683407360
323,lompoc,34.6391,-120.4579,70.79,67,75,14.0,US,1683407360
324,kencong,-8.2833,113.3667,74.84,91,94,2.44,ID,1683407360
325,devon,50.75,-3.75,55.42,89,83,6.89,GB,1683407360
326,fort-shevchenko,44.5086,50.263,58.57,76,5,2.93,KZ,1683407353
327,veinticinco de mayo,-35.4323,-60.1727,61.99,94,100,5.64,AR,1683407361
328,st. john's,47.5649,-52.7093,40.15,90,100,5.01,CA,1683407339
329,grand-lahou,5.1367,-5.0242,81.99,82,26,9.06,CI,1683407361
330,papao,-17.75,-149.55,85.68,79,65,19.15,PF,1683407362
331,marsh harbour,26.5412,-77.0636,75.33,76,48,19.93,BS,1683407124
332,yuzhno-kurilsk,44.0306,145.8556,36.3,79,100,5.84,RU,1683407362
333,collie,-33.3667,116.15,53.51,94,100,9.06,AU,1683407362
334,holualoa,19.6228,-155.9522,78.64,79,40,11.5,US,1683407363
335,port alfred,-33.5906,26.891,59.18,92,43,1.01,ZA,1683407363
336,inyonga,-6.7167,32.0667,65.05,91,7,3.74,TZ,1683407363
337,gelendost,38.1208,31.0153,53.56,80,98,4.23,TR,1683407364
338,junction city,39.0286,-96.8314,93.0,29,0,11.5,US,1683407172
339,betare oya,5.6,14.0833,68.7,96,87,2.93,CM,1683407364
340,kudymkar,59.0173,54.656,39.0,92,100,8.41,RU,1683407364
341,coquimbo,-29.9533,-71.3436,60.53,72,75,10.36,CL,1683407182
342,kolonia,50.9333,6.95,60.96,87,0,2.3,DE,1683407235
343,chengzhong,30.95,113.55,55.51,70,100,14.47,CN,1683407365
344,iskushuban,10.2837,50.23,86.2,60,98,7.38,SO,1683407365
345,luang namtha,20.9497,101.4011,76.62,59,1,1.74,LA,1683407365
346,caleta de carquin,-11.0925,-77.6267,74.98,76,16,13.42,PE,1683407365
347,remire-montjoly,4.9167,-52.2667,82.44,78,75,8.05,GF,1683407316
348,guinticgan,11.5641,123.1236,81.19,77,45,2.91,PH,1683407366
349,mawu,29.5923,107.3139,64.31,96,96,0.72,CN,1683407366
350,wad az zaki,14.4619,32.2065,92.01,7,5,9.26,SD,1683407366
351,pisco,-13.7,-76.2167,73.45,73,100,10.36,PE,1683407366
352,taungoo,18.9333,96.4333,80.64,73,5,3.4,MM,1683407257
353,energetik,51.7445,58.7934,57.45,41,98,4.32,RU,1683407367
354,ust'-charyshskaya pristan',52.3934,83.6635,53.02,66,3,4.54,RU,1683407367
355,soe,-9.8607,124.284,65.44,94,62,4.43,ID,1683407367
356,stanisic,45.94,19.1653,59.83,71,39,5.66,RS,1683407367
357,palmas,-10.2128,-48.3603,85.87,66,20,4.61,BR,1683407315
358,mogocha,53.7333,119.7667,34.45,53,8,3.09,RU,1683407368
359,mugia,43.1041,-9.2179,61.92,93,100,7.58,ES,1683407368
360,san andres,12.5847,-81.7006,87.82,62,20,13.8,CO,1683407368
361,tambura,5.6,27.4667,72.95,77,69,3.83,SS,1683407368
362,pico truncado,-46.7949,-67.9573,56.61,58,57,15.95,AR,1683407369
363,colonia,50.9333,6.95,60.96,87,0,2.3,DE,1683407369
